Soil moisture,humidity,water level,temperature,label
378,82.00274423,202.9355362,20.87974371,fertile
256,80.31964408,226.6555374,21.77046169,non-fertile
356,82.3207629,263.9642476,23.00445915,non-fertile
316,80.15836264,242.8640342,26.49109635,non-fertile
280,81.60487287,262.7173405,20.13017482,fertile
302,83.37011772,251.0549998,23.05804872,fertile
310,82.63941394,271.3248604,22.70883798,non-fertile
330,82.89408619,241.9741949,20.27774362,non-fertile
345,83.5352163,230.4462359,24.51588066,fertile
290,83.03322691,221.2091958,23.22397386,fertile
280,81.41753846,264.6148697,26.52723513,fertile
250,81.45061596,250.0832336,23.97898217,fertile
240,80.88684822,284.4364567,26.80079604,fertile
232,82.05687182,185.2773389,24.01497622,non-fertile
225,80.66385045,209.5869708,25.66585205,non-fertile
320,80.30025587,231.0863347,24.28209415,fertile
380,82.7883708,276.6552459,21.58711777,non-fertile
345,80.41817957,206.2611855,23.79391957,non-fertile
296,80.1923008,224.5550169,21.8652524,non-fertile
230,83.58760316,291.2986618,23.57943626,fertile
255,80.47476396,185.4974732,21.32504158,non-fertile
314,83.11713476,231.3843163,25.15745531,fertile
332,80.97384195,213.3560921,21.94766735,non-fertile
312,82.67839517,233.1075816,21.0525355,non-fertile
345,81.33265073,224.0581164,23.48381344,non-fertile
188,80.52389148,257.0038865,25.0756354,non-fertile
187,84.04403589,271.3586137,26.35927159,non-fertile
182,80.54498576,260.2634026,24.52922681,non-fertile
183,84.49774397,240.0810647,20.77576147,non-fertile
208,80.64416466,197.9791215,22.30157427,fertile
231,84.94375962,272.2017204,21.44653958,fertile
248,80.33127223,200.0882787,22.17931888,fertile
220,82.73685569,224.6757231,24.52783742,non-fertile
280,81.63895217,270.4417274,20.26707606,fertile
345,83.88266234,233.1321372,25.7354293,non-fertile
157,82.1480873,193.3473987,26.79533926,non-fertile
150,81.17734011,272.2999056,26.75754171,fertile
258,83.15250801,285.2493645,23.86330467,fertile
290,82.95221726,298.4018471,21.01944696,fertile
312,83.7287574,257.0343554,24.17298839,fertile
338,82.06719137,248.7183228,22.78133816,non-fertile
354,83.52842314,209.9001977,25.62980105,non-fertile
359,80.14509262,200.834898,25.59704938,non-fertile
302,84.81360127,298.5601175,23.83067496,non-fertile
308,82.36698992,265.5355937,26.31355498,non-fertile
284,80.52586088,183.6793207,24.8972823,non-fertile
265,84.47963372,196.9560008,24.958779,non-fertile
263,84.59201843,233.0453455,23.24113501,fertile
259,80.70960551,210.8142087,21.66628296,fertile
647,80.41363018,253.7202781,24.63544858,fertile
323,83.06310136,219.9048349,23.43121862,non-fertile
319,80.3477562,208.5810155,20.0454142,fertile
315,82.22572988,195.0948311,23.85724032,non-fertile
307,81.89918197,227.3637009,21.97199397,non-fertile
306,83.83625819,286.5083725,26.22916897,fertile
306,84.79352417,283.9338466,23.44676801,fertile
306,83.47021081,217.3788583,25.65553461,fertile
306,82.45432595,267.9761948,24.44345477,non-fertile
303,82.1235421,191.9535738,20.2801937,fertile
303,80.2389895,277.9626192,21.7238313,fertile
304,82.20802629,245.1511304,20.41447029,fertile
303,83.51827127,245.6626799,25.75528612,non-fertile
302,83.77345559,279.5451717,20.61521424,fertile
303,80.72886384,202.3838319,21.84106875,non-fertile
302,83.29114712,263.6372176,20.08369642,non-fertile
299,82.74835604,182.5616319,24.45802087,fertile
316,80.33502926,198.6730942,21.14347496,fertile
280,82.11124033,243.5120414,25.78720567,fertile
302,80.28597873,263.1103304,23.64124821,fertile
310,80.56887849,269.5039162,23.43191632,non-fertile
330,83.891805,204.8001847,24.97669518,non-fertile
345,82.1706881,260.8875056,22.72791041,non-fertile
290,82.84022551,295.6094492,24.87300744,non-fertile
280,83.00320459,192.3197536,21.32376327,non-fertile
250,84.56919326,257.4914906,26.29465461,non-fertile
240,81.85872947,278.0791793,22.2286982,non-fertile
232,81.78596776,280.4044392,26.73072391,fertile
225,81.97927117,185.9461429,24.88921174,fertile
320,81.46033732,194.5766559,26.88444878,fertile
620,83.72874389,200.9133156,22.67846116,non-fertile
302,80.37979919,182.9043504,26.08867875,fertile
300,82.94682591,195.3574542,25.42977518,non-fertile
280,81.05635517,223.3671883,26.40323239,non-fertile
290,84.96907151,186.7536773,26.04371967,fertile
310,80.54372813,220.1156708,25.2827223,fertile
320,83.47038318,231.7364957,22.08576562,fertile
306,81.43321641,242.3170629,23.28617173,non-fertile
330,81.40633547,182.6549356,25.48591986,non-fertile
302,81.03569343,233.7034975,23.67575393,non-fertile
301,84.1341879,230.2242223,20.82477109,fertile
302,81.91411159,290.6793783,26.92995077,fertile
303,83.88387074,241.2013513,23.83509503,non-fertile
304,80.12267476,218.9163567,26.52872817,non-fertile
305,83.85642678,248.2256491,26.46428311,fertile
310,82.81088865,256.9964761,22.69657794,fertile
350,83.46358271,194.2651719,22.68319059,fertile
270,82.14004101,295.9248796,21.53346343,fertile
325,83.3293191,287.5766935,21.40865769,fertile
320,84.67353597,183.6222657,26.54348085,non-fertile
320,83.59512273,188.413665,23.35905428,non-fertile
310,63.69070564,87.75953857,22.61359953,fertile
280,71.57476937,102.2662445,26.10018422,non-fertile
290,71.59351368,66.71995467,23.55882094,non-fertile
302,57.68272924,60.65171481,19.97215954,non-fertile
315,62.69503871,65.43835393,18.47891261,fertile
295,57.80840636,102.0861694,21.77689322,non-fertile
259,66.50415474,105.4654703,25.6217169,fertile
620,66.6902901,78.06639649,25.19192419,non-fertile
310,62.5542482,65.27798457,20.41683147,non-fertile
319,66.78627406,109.2162279,24.92162194,non-fertile
316,73.4541537,94.29712821,23.31689124,non-fertile
